assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
268,20260986,-0.002502414035190359,0.004266178764178785,-0.0032472659827495684
269,20260987,-0.002970666867654792,0.005468734157621835,0.03647377593244515
270,20260988,-0.00043507525279862236,0.007907768982324481,0.02852603473248228
271,20260989,-0.003708001433754715,0.003479387480658902,0.05019367554952736
272,20260990,-0.007184525170954803,0.0010051320086449378,0.01501229018875145
273,20260991,-0.0021722597753601747,0.0010214590877700713,-0.018705078603396985
274,20260992,-0.004145908624058725,0.005257680718969482,0.030615632236564164
275,20260993,-0.007155589028345677,0.0004355645430682564,-0.008012439743070653
276,20260994,-0.005301480243520729,0.0019445558641550953,-0.005518644590596334
277,20260995,-0.0070498289752218835,0.0008403532473074682,-0.028127437153333094
278,20260996,-0.0006824243590299872,0.002749337946277186,0.02023487024367889
279,20260997,-0.00022429285224379036,0.002646224048105328,0.030190615976939235
280,20260998,-0.0066720248368208335,0.0009673281033734105,0.027816774461439396
281,20260999,-0.0010648604261818129,0.010459070728025766,0.02470222339454265
282,20261000,-0.003864424284209189,0.0024509051640928536,-0.0012542065856147064
283,20261001,-0.0033954848824067074,0.008263164870072726,0.08960250425340197
284,20261002,-0.003891225642998819,0.0015330096960407547,0.034598807091560387
285,20261003,-0.006508895261245762,0.0006526989972308606,0.008516486591608016
286,20261004,-0.002794205330090893,0.004936297744163265,0.05627621932386269
287,20261005,-0.002665427795312647,0.004132652254438263,-0.013606720160766363
288,20261006,0.0007569930850145346,0.0062180967046258084,-0.061660490590079706
289,20261007,-0.005167969038167186,0.0022951555534880264,-0.029549942131230147
290,20261008,-0.011084249716701855,0.004168252619675239,0.0508237896894235
291,20261009,-0.0048225822323761935,0.0029499113031720148,-0.0016374633736506332
292,20261010,-0.004886296935006751,0.0009235478515926543,-0.0007193762606973972
293,20261011,-0.0030294501108427685,0.005902232080825853,0.014622569575765272
294,20261012,-0.004990242552957325,0.0005166476718418966,-0.019767624138801867
295,20261013,-0.011929706553528652,0.003179202052727481,0.05325015085878715
296,20261014,-0.0030836712686146406,0.0031662566606093234,0.03919648325488991
297,20261015,-0.005664692932744186,0.0016397424352371237,0.017205304658271345
298,20261016,-0.006566062682725304,0.0011885975931531512,-0.026990182044961942
299,20261017,-0.008006184069255573,0.0019583354851433477,-0.01596035806887541
300,20261018,-0.0009401688670100938,0.0033170220772987813,0.05410817885114641
301,20261019,-0.00822192236973418,0.001964983315954516,-0.010998285174031102
302,20261020,-0.0011050184788354844,0.005053709128295059,-0.013736997180503795
303,20261021,-0.00016123860849326377,0.004614449615131133,0.01781765861148398
304,20261022,-0.006997921492868819,0.0013146383110278492,-0.0012262381551775277
305,20261023,-0.0012350655829618251,0.005949903110917476,-0.028364454151576637
306,20261024,-0.006808044558535897,0.0014575835484729183,0.02200865139250758
307,20261025,-0.0025018038760322714,0.005169551348663259,0.021182035291110936
308,20261026,-0.003833275959726379,0.0009568337258214488,-0.030561609759461685
309,20261027,-0.0067871504913090686,0.0019415627964591842,-0.03418347573858079
310,20261028,-0.00775463900259088,0.0006626949849253272,0.009838514727360454
311,20261029,-0.001072679552265532,0.002976682133973396,-0.033392123950521845
312,20261030,0.0009601430048645776,0.0036397675454750145,0.04610007819980901
313,20261031,-0.0009945698239102185,0.004397285065562362,0.03234693685431366
314,20261032,-0.0033300127727877715,0.0006495910896837653,0.007829878128071965
315,20261033,-0.0014460545425247773,0.006942760687762006,0.03231399155676029
